Year,Average Temperature (NSW)
2023,23.9
2022,22.4
2021,22.8
2020,23.6
2019,24.5
2018,23.9
2017,24.1
2016,24.1
2015,23.4
2014,23.6
2013,24.1
2012,22.9
2011,22.6
2010,22.9
2009,23.4
2008,22.4
2007,23
2006,23
2005,23.4
2004,23.2
2003,22.5
2002,22.9
2001,22.8
2000,22.6
1999,22.1
1998,22.7
1997,22.4
1996,22.1
1995,21.8
1994,22.6
1993,22.5
1992,21.7
1991,22.9
1990,22.3
1989,22
1988,22.9
1987,22.3
1986,22.1
1985,21.9
1984,21.8
1983,22.2
1982,22.4
1981,22.5
1980,23.4
1979,22.6
1978,22
1977,22.8
1976,21.9
1975,22.4
1974,21.7
1973,23
1972,22.1
1971,22
1970,22.1
1969,22
1968,22.7
1967,21.8
1966,21.6
1965,22.2
1964,22.4
1963,21.5
1962,21.7
1961,21.8
1960,21.8
1959,22.1
1958,22.6
1957,22.5
1956,21.6
1955,21.8
1954,21.7
1953,21.9
1952,21.8
1951,21.9
1950,21.3
1949,21.2
1948,21.3
1947,21.6
1946,22.1
1945,21.7
1944,22
1943,21
1942,22.1
1941,21.4
1940,22.7
