Location,1 Energy (Mt),2 Industrial Processes (Mt),3 Agriculture (Mt),"4 Land Use, Land-Use Change and Forestry UNFCCC (Mt)",5 Waste (Mt),7 Other (Mt),Year,Total (MT)
ACT,1.1627,0.2153,0.0356,-0.0701,0.0257,Not available,2023,1.3692
EXTERNAL TERRITORIES (ET),Not available,0.0022,Not available,-0.0001,0.0043,Not available,2023,0.0064
NSW,96.1409,12.9953,20.9318,-19.8683,4.255,Not available,2023,114.4547
NT,10.6908,0.1151,3.1735,9.4078,0.1943,Not available,2023,23.5815
QLD,111.6378,5.814,24.2038,-16.3114,2.7808,Not available,2023,128.125
SA,15.3521,3.0741,5.9981,-9.111,0.9436,Not available,2023,16.2569
TAS,3.5779,1.6127,2.7573,-13.3049,0.425,Not available,2023,-4.932
VIC,76.9205,3.7423,15.2399,-15.034,3.2883,Not available,2023,84.157
WA,81.4423,5.4156,10.0482,-9.4093,1.8753,Not available,2023,89.3721
ACT,1.0628,0.2087,0.0341,-0.0834,0.0624,Not available,2022,1.2846
EXTERNAL TERRITORIES (ET),0.0366,0.0022,Not available,-0.0001,0.0043,Not available,2022,0.043
NSW,94.2501,13.0694,20.1378,-24.3985,4.3852,Not available,2022,107.444
NT,12.4164,0.1127,3.099,7.9669,0.2097,Not available,2022,23.8047
QLD,110.5527,5.7459,23.3243,-14.9391,2.8623,Not available,2022,127.5461
SA,15.4843,3.5042,5.6732,-9.6932,0.9672,Not available,2022,15.9357
TAS,3.5448,1.5819,2.6509,-12.8051,0.3949,Not available,2022,-4.6326
VIC,77.3175,3.5554,15.0608,-16.7034,3.2575,Not available,2022,82.4878
WA,81.6704,5.1049,9.6535,-12.346,1.8968,Not available,2022,85.9796
ACT,1.1692,0.2129,0.0194,-0.1938,0.105,Not available,2021,1.3127
EXTERNAL TERRITORIES (ET),0.0366,0.0022,Not available,-0.0001,0.0043,Not available,2021,0.043
NSW,99.4246,12.9551,18.843,-28.3984,4.31,Not available,2021,107.1343
NT,13.0048,0.1249,3.3367,-0.279,0.2013,Not available,2021,16.3887
QLD,115.0175,5.8082,22.7471,-2.7392,3.0026,Not available,2021,143.8362
SA,16.2501,3.4198,5.6462,-6.524,0.9026,Not available,2021,19.6947
TAS,3.6386,1.5587,2.7194,-11.8943,0.3987,Not available,2021,-3.5789
VIC,77.2242,3.7475,15.7223,-20.8552,2.7332,Not available,2021,78.572
WA,77.8813,4.9248,9.7254,-18.758,1.9322,Not available,2021,75.7057
ACT,0.9476,0.1917,0.0153,-0.1651,0.2062,Not available,2020,1.1957
EXTERNAL TERRITORIES (ET),0.0366,0.0021,Not available,-0.0001,0.0043,Not available,2020,0.0429
NSW,104.3892,12.7707,15.2105,-19.2163,3.9376,Not available,2020,117.0917
NT,14.0248,0.1341,3.4464,1.4933,0.1899,Not available,2020,19.2885
QLD,118.7366,5.7581,22.0568,3.0937,3.2582,Not available,2020,152.9034
SA,16.7157,3.367,5.4481,-2.5594,0.8184,Not available,2020,23.7898
TAS,3.4449,1.4988,2.6527,-13.3181,0.3878,Not available,2020,-5.3339
VIC,80.2385,3.5957,15.4555,-17.53,2.8145,Not available,2020,84.5742
WA,79.7841,4.5383,9.4834,-12.4355,1.8409,Not available,2020,83.2112
ACT,1.1272,0.1897,0.0182,-0.2683,0.1414,Not available,2019,1.2082
EXTERNAL TERRITORIES (ET),0.0399,0.002,Not available,-0.0001,0.0043,Not available,2019,0.0461
NSW,108.8603,12.9868,16.1824,-22.0343,3.8044,Not available,2019,119.7996
NT,13.4858,0.1352,4.0222,2.4305,0.1908,Not available,2019,20.2645
QLD,121.0822,5.9903,23.5427,7.538,3.137,Not available,2019,161.2902
SA,17.2048,3.5127,5.3025,-4.468,0.9931,Not available,2019,22.5451
TAS,3.8397,1.7068,2.3838,-12.7323,0.4146,Not available,2019,-4.3874
VIC,84.7323,3.5453,15.0035,-20.6804,2.677,Not available,2019,85.2777
WA,84.4152,4.427,9.496,-10.8126,1.893,Not available,2019,89.4186
ACT,1.0987,0.1752,0.0249,-0.1842,0.1047,Not available,2018,1.2193
EXTERNAL TERRITORIES (ET),0.0366,0.0019,Not available,-0.0001,0.0043,Not available,2018,0.0427
NSW,112.097,12.8199,19.3323,-15.1355,4.1934,Not available,2018,133.3071
